Sac County City,Crimes,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sacramento,Property Crimes,"21,001","20,200","18,563","19,967","17,980","15,078","16,501","15,283","14,683","15,417"
Sacramento,Burglary,"5,135","5,027","4,141","4,474","3,886","3,238","3,713","3,070","2,888","2,751"
Sacramento,Forcible Entry,"3,499","3,431","2,764","3,006","2,684","2,123","2,516","2,000","1,951","1,845"
Sacramento,No Force,"1,636","1,596","1,377","1,468","1,202","1,115","1,197","1,070",937,906
Sacramento,Residence,"3,918","3,750","2,958","3,185","2,908","2,236","2,523","2,017","1,830","1,679"
Sacramento,Night,693,764,631,714,637,514,615,519,430,418
Sacramento,Day,"1,718","1,698","1,372","1,592","1,197",918,"1,018",798,701,592
Sacramento,Unknown,"1,507","1,288",955,879,"1,074",804,890,700,699,669
Sacramento,Non-Residence,"1,217","1,277","1,183","1,289",978,"1,002","1,190","1,053","1,058","1,072"
Sacramento,Night,542,490,537,591,372,411,486,475,456,473
Sacramento,Day,316,419,377,414,321,316,389,293,267,293
Sacramento,Unknown,359,368,269,284,285,275,315,285,335,306
Citrus Heights,Property Crimes,"3,627","3,931","3,333","3,117","2,653","2,691","2,586","2,676","2,782","2,478"
Citrus Heights,Burglary,702,756,607,625,483,459,375,400,462,410
Citrus Heights,Forcible Entry,370,412,345,313,239,216,207,214,233,211
Citrus Heights,No Force,332,344,262,312,244,243,168,186,229,199
Citrus Heights,Residence,436,483,424,394,321,300,246,228,262,219
Citrus Heights,Night,84,72,68,98,86,94,79,85,119,91
Citrus Heights,Day,171,182,151,172,199,173,143,120,117,104
Citrus Heights,Unknown,181,229,205,124,36,33,24,23,26,24
Citrus Heights,Non-Residence,266,273,183,231,162,159,129,172,200,191
Citrus Heights,Night,92,101,61,83,96,77,70,98,98,108
Citrus Heights,Day,89,66,53,107,55,63,44,60,66,52
Citrus Heights,Unknown,85,106,69,41,11,19,15,14,36,31
Elk Grove,Property Crimes,"3,443","3,204","3,270","3,292","2,963","3,072","3,120","2,342","2,245","2,359"
Elk Grove,Burglary,859,653,664,674,544,626,589,373,366,321
Elk Grove,Forcible Entry,475,344,385,364,317,391,382,247,237,185
Elk Grove,No Force,384,309,279,310,227,235,207,126,129,136
Elk Grove,Residence,720,503,506,522,403,462,424,248,230,174
Elk Grove,Night,88,61,126,151,138,169,139,84,80,65
Elk Grove,Day,397,256,380,371,265,293,285,164,150,109
Elk Grove,Unknown,235,186,0,0,0,0,0,0,0,0
Elk Grove,Non-Residence,139,150,158,152,141,164,165,125,136,147
Elk Grove,Night,50,52,84,81,69,88,107,82,68,77
Elk Grove,Day,43,45,74,71,72,76,58,42,68,70
Elk Grove,Unknown,46,53,0,0,0,0,0,1,0,0
Folsom,Property Crimes,"1,504","1,484","1,510","1,277","1,336","1,305","1,185","1,384","1,229","1,245"
Folsom,Burglary,272,262,316,235,240,244,210,264,257,245
Folsom,Forcible Entry,136,141,196,135,149,131,88,124,109,106
Folsom,No Force,136,121,120,100,91,113,122,140,148,139
Folsom,Residence,175,158,214,152,144,165,136,107,149,109
Folsom,Night,29,28,42,24,42,56,41,37,64,40
Folsom,Day,61,47,82,80,84,83,69,50,60,45
Folsom,Unknown,85,83,90,48,18,26,26,20,25,24
Folsom,Non-Residence,97,104,102,83,96,79,74,157,108,136
Folsom,Night,39,30,33,45,55,55,32,77,60,72
Folsom,Day,8,12,15,18,28,17,35,64,41,46
Folsom,Unknown,50,62,54,20,13,7,7,16,7,18
Galt,Property Crimes,632,467,421,470,517,574,606,579,595,462
Galt,Burglary,186,131,111,148,190,162,94,120,74,66
Galt,Forcible Entry,86,56,35,61,92,67,44,67,32,34
Galt,No Force,100,75,76,87,98,95,50,53,42,32
Galt,Residence,141,76,73,92,95,69,55,68,49,32
Galt,Night,14,13,15,19,23,21,14,20,16,11
Galt,Day,93,36,36,43,61,37,33,36,26,18
Galt,Unknown,34,27,22,30,11,11,8,12,7,3
Galt,Non-Residence,45,55,38,56,95,93,39,52,25,34
Galt,Night,18,15,15,22,40,36,13,29,12,17
Galt,Day,22,23,13,18,44,46,19,17,8,11
Galt,Unknown,5,17,10,16,11,11,7,6,5,6
Isleton,Property Crimes,9,8,16,23,46,23,26,13,6,24
Isleton,Burglary,3,0,0,17,23,12,13,8,3,14
Isleton,Forcible Entry,1,0,0,13,19,7,8,6,3,11
Isleton,No Force,2,0,0,4,4,5,5,2,0,3
Isleton,Residence,3,0,0,11,11,7,4,4,0,2
Isleton,Night,0,0,0,5,5,2,3,1,0,1
Isleton,Day,2,0,0,6,6,5,1,3,0,1
Isleton,Unknown,1,0,0,0,0,0,0,0,0,0
Isleton,Non-Residence,0,0,0,6,12,5,9,4,3,12
Isleton,Night,0,0,0,2,4,4,3,4,2,1
Isleton,Day,0,0,0,4,8,1,6,0,1,11
Isleton,Unknown,0,0,0,0,0,0,0,0,0,0
Rancho Cordova,Property Crimes,"1,928","2,293","1,904","2,107","2,202","1,644","1,726","1,435","1,410","1,388"
Rancho Cordova,Burglary,527,657,498,421,478,321,346,305,285,257
Rancho Cordova,Forcible Entry,391,538,400,319,333,238,233,205,197,175
Rancho Cordova,No Force,136,119,98,102,145,83,113,100,88,82
Rancho Cordova,Residence,366,456,362,288,326,213,214,188,167,134
Rancho Cordova,Night,123,126,118,88,120,73,80,56,61,52
Rancho Cordova,Day,241,330,244,200,205,139,133,131,106,82
Rancho Cordova,Unknown,2,0,0,0,1,1,1,1,0,0
Rancho Cordova,Non-Residence,161,201,136,133,152,108,132,117,118,123
Rancho Cordova,Night,109,139,80,79,75,73,75,71,67,72
Rancho Cordova,Day,52,62,56,52,77,35,57,46,51,50
Rancho Cordova,Unknown,0,0,0,2,0,0,0,0,0,1
